judul,penulis,dosen_1,dosen_2,abstrak_ID,abstrak_EN
Pengaruh Kompensasi Terhadap Kinerja Karywan pada PT. Pos Indonesia (Persero) Kantor Cabang Bnagkalan ,Penulis : agustin pratiwi,Dosen Pembimbing I : Drs.Ec. Mudji Kuswinarno.M.Si. ,"Dosen Pembimbing II :Faidal. S.E, MM.","ABSTRAK 

	Tujuan penelitian ini adalah untuk mengetahui apakah variabel yang terdiri dari kompensasi finansial langsung, kompensasi finansial tidak langsung dan kompensasi nonfinansial secara simultan memiliki pengaruh yang signifikan terhadap kinerja karyawan, serta untuk mengetahui variabel manakah dari kompensasi finansial langsung, kompensasi finansial tidak langsung dan kompensasi nonfinansial yang berpengaruh dominan terhadap kinerja karyawan, untuk membuktikan hipotesis penelitian, alat analisis yang digunakan adalah regresi linier berganda dengan bantuan SPSS. 
	Hasil pengujian menunjukkan nilai Fhitung sebesar 6,851 dengan nilai signifikan Fhitung sebesar 0.001 (p<0.05) yang berarti ada pengaruh signifikan variabel kompensasi finansial langsung, kompensasi finansial tidak langsung dan kompensasi nonfinansial secara simultan terhadap kinerja karyawan pada PT. Pos Indonesia (Persero) Kantor Cabang Bangkalan.

Kata kunci: kompensasi, kinerja karyawan
","ABSTRACT

         The purpose of this study was to determine whether the variable of compensation consists of direct financial compensation, indirect financial compensation and nonfinancial compensation simultaneously have a significant influence on the performance of employees, and to determine whose variables from direct financial compensation, indirect financial compensation and nonfinancial compensation have dominant influence employees’ performance, to prove the hypothesis of the study, it used double linear regression with SPSS. 
	The test results demonstrate the value of F 6.851 and significant value of F 0.001 (p <0.05), that means there is a significant influence from the variable compensation for direct financial, indirect financial compensation and nonfinancial compensation simultaneously on the employees’ performance at PT. Pos Indonesia (Persero) Bangkalan office

Keywords: compensation, employees’ performance."
PENGARUH ETOS KERJA TERHADAP RESTASI KERJA KARYAWAN PT. PLN (Persero) DISTRIBUSI JAWA TIMUR AREA MOJOKERTO.,Penulis : Uswatun khasanah,"Dosen Pembimbing I : Dr. Dra. Hj. Iriani Ismail, MM","Dosen Pembimbing II :Helmi Buyung A. S.ST, SE, M.MT","Abtrak	
USWATUN KHASANAH, “Pengaruh Etos Kerja Terhadap Presatasi Kerja Karyawan PT.PLN (Persero) Diatribusi Jawa Timur Area Mojokerto”. 
Pengumpulan data dalam  penelitian ini adalah mengunakan survey kuesioner. Kuesioner dibagikan kepada sebagian karyawan PT. PLN (Persero) Distribusi Jawa Timur Area Mojokerto yang berjumlah 50 karyawan. Teknik analisis data yang digunakan untuk meguji hipotesis ini adalah menggunakan regresi Linier Berganda dengan memakai uji F dan uji t. Hasil analisis penelitian ini menyatakan secara simultan dengan menggunakan uji F etos kerja yang terdiri dari semanagt kerja, disiplin kerja dan kerja sama secara bersama-sama mempunyai pengaruh signifikan terhadap prestasi kerja karyawan PT. PLN (Persero) Distribusi Jawa Timur Area Mojokerto.
Secara parsial dengan menggunakan uji t menunjukkan bahwa variabel kerja sama dan semangat kerja berpengaruh signifikan, sedangkan variabel disiplin kerja tidak berpengaruh signifikan terhadap prestasi kerja karyawan PT. PLN (Persero) Distribusi Jawa Timur Area Mojokerto. Sedangkan variabel etos kerja merupakan variabel dominan yang mempengaruhi prestasi kerja karyawan. Sehingga dapat disimpulkan bahwa untuk meningkatkan prestasi kerja karyawan PT. PLN (Persero) Distribusi Jawa Timur Area Mojokerto harus meningkatkan etos kerja dari kerja sama dan semangat kerja..
Kata kunci : Etos Kerja dan Prestasi kerja.
","ABSTRACT

KHASANAH, USWATUN, “The Influence Of Work Spirit to The Worke’s Achivement Of PT, PLN (LIMITED) Ditribution Of East Java In Mojokerto Area”.
The data collection of this research is using quesionaire is divided to the working of PT. PLN (Persero) Ditribution Of East Java in Mojokerto Area, wich consist of 50 persons. The analiysis data techique which is used toexamine this hypotesis is using double linier regresion with use F test and T test. The result of this analysis research is showing simultani onsly which uses F test thse are spirit, dicipline and cooperative working has a  strong influence to the worker of PT. PLN (Persero) Ditribution Of East Java in Mojokerto Area. 
	Parcially using t test shows that the variableof cooperative and spirit working is significantly, but the variable of dicipline working is not influenced significanthy to the workers of PT. PLN (Persero) Ditribution Of East Java in Mojokerto Area. But the working is a dominant variable which give influence. So the conclusion is improving the work achievement PT. PLN (Persero) Ditribution Of East Java in Mojokerto Area must improve work spirit froom cooperative work.
Keywords: work spirit, achievement.
"
Pengaruh Iklan di televisi terhadap keputusan konsumen untuk memakai kartu seluler XL di Kecamatan Geger (studi pada iklan versi: Paket Serbu (Versi Halte),Penulis : Muhammad Sholeh,"Dosen Pembimbing I : Bambang Setiyo Pambudi, S.E,MM","Dosen Pembimbing II :Suyono, S.E.,M.S.M","Muhammad Sholeh, Pengaruh Iklan Di Televisi Terhadap Keputusan Konsumen Untuk Memakai Kartu Seluler XL di Kecamatan Geger, dibawah bimbingan Bambang Setiyo Pambudi, SE, MM dan Suyono, SE, M.S.M.
Penelitian ini bertujuan untuk mengetahui pengaruh iklan terhadap keputusan konsumen untuk menggunakan kartu seluler XL yang dilakukan terhadap masyarakat di kecamatan Geger Kabupaten Bangkalan dengan jumlah responden penelitian sebanyak 50 Responden, data yang terkumpul selanjutnya dilakukan analisis regresi linier berganda. Dengan menggunakan alat bantu software SPSS 16.0. Hasil analisis terhadap pengujian hipotesis diperoleh sebagai berikut: bahwa pengaruh iklan yang terdiri dari isi pesan, struktur pesan, format pesan dan sumber pesan mempunyai pengaruh yang signifikan terhadap keputusan konsumen untuk menggunakan kartu seluler XL, dan pada Uji parsial diketahui bahwa variabel isi pesan merupakan variabel yang dominan memberikan pengaruh terhadap keputusan konsumen untuk menggunakan kartu seluler XL di Kecamatan Geger.
Keywords : Isi Pesan, Struktur Pesan, Format Pesan, Sumber Pesan.
","Muhammad Sholeh, The Effects of Television Advertisement on Consumer’s Decision to use XL Mobile Card in Geger District, Supervisors : Bambang Setiyo Pambudi, SE, MM and Suyono, SE, MSM.
This study is aimed to know the effect of advertisement on consumer’s decision to use a XL as their cellular card. It is conducted in Geger area with 50 respondents. In addition, the data are analyzed by using multiple linear regression analysis. To validate the analysis, the researcher uses SPSS 16.0 software. As the result, it shows that the advertisement consisting message, message structure, form, and message source have significant impact on consumer’s decision to use XL, it is also know in partial test that content message variable is a dominant variable in determining consumer’s decision to use XL Mobile card in Geger District. 
Keywords: Message Content, Message Structure, Message Format, the Message Source.
"
"PENGARUH CELEBRITY ENDORSER IWAN FALS TERHADAP MINAT BELI PRODUK TOP COFFEE
( STUDI PADA MASYARAKAT SUMUR KEMBANG KELURAHAN PEJAGAN KECAMATAN BANGKALAN KABUPATEN BANGKALAN )",Penulis : Tayyi Matun,Dosen Pembimbing I : Bambang Setiyo Pambudi,Dosen Pembimbing II :Yustina Chrismardani,"Tujuan penelitian ini adalah mengetahui pengaruh celebrity endorser Iwan Fals terhadap minat beli produk Top Coffee (studi pada masyarakat Sumur Kembang Kelurahan Pejagan Kecamatan Bangkalan Kabupaten Bangkalan). Penelitian ini menggunakan metode kuantitatif dengan pendekatan survey.
Populasi penelitian ini adalah masyarakat Sumur Kembang Kelurahan Pejagan Kecamatan Bangkalan Kabupaten Bangkalan dan karena menngunakan metode sampling aksidental, maka penelitian ini mendapatkan 60 responden pada bulan desember 2012. Metode pengumpulan data dengan cara penelitian lapang dengan membagikan kuesioner dan riset perpustakaan. Teknik pengolahan data yang digunakan adalah pengolahan data dengan bantuan [erangkat lunak SPSS versi 16.0 for windows dan menggunakan skala likert.
Hasil penelitian menyebutkan bahwa hasil uji F (simultan) menunjukkan bahwa variabel bebas yang terdiri trustworthiness (X1),  expertise (X2), attractiveness (X3), respect (X4) dan similarity (X5) mempengaruhi variabel terikat yaitu minet beli (Y) produk Top Coffee. Kemudian, hasil dari uji t (parsial) membuktikan bahwa variabel bebas yang terdiri trustworthiness (X1), expertise (X2), attractiveness (X3), respect (X4) dan similarity (X5) berpengaruh signifikan terhadap minat beli (Y) produk Top Coffee.  Dapat disimpulkan bahwa dari kelima variabel bebas yang mempunyai pengaruh lebih besar terhadap miant beli (Y) produk Top Coffee adalah variabel trustworthiness (X1).","The purpose of this study is to determine the effect of the celebrity endorser Iwan FALS on buying interests of Top Coffee product (Study at Sumur Kembang Urban Society Pejagan village Bangkalan sub-district, Bangkalan district). This study uses quantitative survey approach.
This population of research is the society of  Sumur Kembang Pejagan village Bangkalan and because this research uses accidental sampling method, so the research gets 60 respondents in December 2012. The data collection is used by distributing questionnaires and review of related literatures. The data processing techniques are done by using SPSS software with 16.0 version for windows and Likert scale.
The results showed that F test (simultant) revealed that the independent variables which consist of trustworthiness (X1), expertise (X2), attractiveness (X3), respect (X4) and similarity (X5) affect the dependent variable that is buying interests (Y) of Top Coffee products. Then, the results of the t test (partial) proved that the independent variables which consist of trustworthiness (X1), expertise (X2), attractiveness (X3), respect (X4) and similarity (X5) significantly influence the buying interest (Y) of Top Coffee products . It can be concluded that of the five independent variables have a bigger impact on buying interest (Y) of Top Coffee products is trustworthiness variable (X1)."
"Pengaruh Harga dan Kualitas Pelayanan terhadap Kepuasan Berbelanja pada Swalayan Tom & Jerry Bangkalan
",Penulis : ALI RAHBINI,Dosen Pembimbing I : PRIBANUS WANTARA,Dosen Pembimbing II :NIRMA KURRIWATI,"Ali Rahbini, Pengaruh Harga dan Kualitas Pelayanan Terhadap Kepuasan Berbelanja pada Swalayan Tom & Jerry Bangkalan dibawah bimbingan Pribanus Wantara dan Nirma Kurriwati. .
Penelitian ini bertujuan untuk mengukur pengaruh Harga dan Kualitas Pelayanan Terhadap Kepuasan Berbelanja di Swalayan Tom & Jerry yang dilakukan terhadap konsumen yang berbelanja di swalayan Tom & Jerry dengan jumlah responden penelitian sebanyak 70 responden, data yang terkumpul selanjutnya dilakukan analisis Regresi Linier Berganda. Dengan menggunakan alat bantu software SPSS 16.0. hasil analisis terhadap pengujian hipotesis diperoleh sebagai berikut: bahwa harga dan kualitas pelayanan mempunyai pengaruh secara simultan terhadap kepuasan berbelanja di swalayan Tom & Jerry, dan Secara Parsial variabel harga, kehandalan, daya tanggap, jaminan, empati dan bukti fisik mempunyai pengaruh parsial terhadap kepuasan berbelanja di swalayan Tom & Jerry Bangkalan, serta variabel harga merupakan variabel yang dominan berpengaruh terhadap kepuasan berbelanja di swalayan Tom & Jerry Bangkalan.  

Kata Kunci : Harga, Keandalan, Daya Tanggap, Jaminan, Empati, Bukti Fisik
","Ali Rahbini, Effect of Price Satisfaction and Service Quality Against Self-Shopping at Tom & Jerry Bangkalan under the guidance of  Pribanus Wantara and Nirma Kurriwati.
This study aimed to measure the effect of Price Satisfaction and Service Quality Toward Self-Shopping at Tom & Jerry made to consumers who shop in supermarkets Tom & Jerry by the number of survey respondents were 70 respondents, the collected data is then performed Multiple Linear Regression analysis. By using SPSS 16.0 software tools. analysis the hypothesis testing results obtained as follows: the price and quality of service have a simultaneous effect on satisfaction shopping at supermarkets Tom & Jerry, and In Partial variable pricing, reliability, responsiveness, assurance, empathy and tangibles have a partial influence on shopping satisfaction Tom & Jerry in supermarkets Bangkalan, and price variables are variables that affect the satisfaction of the dominant supermarket shopping at Tom & Jerry Bangkalan.

Keywords : Price, Reliability, Responsibility, Assurance, Emphaty, Tangible.
"
analisis faktor-faktor yang berpengaruh terhadap kebijakan deviden pada perusahaan manufaktur yang terdaftar di BEI periode 2008-2011,Penulis : Jailani,"Dosen Pembimbing I : Hj. Evaliati amaniyah, SE., M.SM","Dosen Pembimbing II :Purnamawati, SE., M.Si","ABSTRAK
Tujuan penelitian ini adalah untuk mengetahui pengaruh variabel current ratio, return on equity, firm size, leverage dan business risk terhadap kebijakan deviden pada perusahaan manufaktur yang terdaftar di Bursa Efek Indonesia pada periode 2008-2011. Pendekatan penelitian yang digunakan dalam penelitian ini adalah kuantitatif. Sampel dalam penelitian ini adalah perusahaan manufaktur yang membagikan deviden secara berturut-turut selama periode 2008-2011. Metode pengambilan sampel yang digunakan adalah purposive sampling. Untuk pengujian instrumen menggunakan uji Asumsi Klasik, sedangkan teknik analisis data yang digunakan untuk menguji hipotesis adalah menggunakan regresi linier berganda dengan memakai uji F dan uji t. Berdasarkan hasil penelitian menunjukkan bahwa nilai R Square sebesar 0,469. Berdasarkan uji F variabel current ratio, return on equity, firm size, leverage dan businees risk secara simultan berpengaruh signifikan terhadap dividend payout ratio. Berdasarkan uji t diketahui bahwa secara parsial variabel current ratio, firm size dan businees risk berpengaruh signifikan terhadap dividend payout ratio sedangkan variabel return on equity dan leverage tidak berpengaruh signifikan terhadap dividend payout ratio.
Kata kunci : current ratio, return on equity, firm size, leverage dan businees risk","ABSTRACT
The objective of this research was to find out the influence of currrent ratio, return on equity, firm size, leverage, and business risk variabel to dividend policy on manufactuirng companies which were registered in BEI on period of 2008-2011. The research used quantitative approach. The sample were manufacturing companies that shared their dividend consecutively on period of 2008-2011. The sample were taken by using purposive sampling method. The instrument were tested by using clasic assumsumption test and tehnique in analyzing the data used double linier regression for T-test and F-test. The result showed that R-square value was 0,469. The F-test showed that current ratio, return on equity, firm size, leverage, and business risk variable influenced simultaneosly to dividend payout ratio. The T-test showed that current ratio, firm size, and business risk influenced significantly to dividend payout ratio, then return on equity and leverage variables did not influence significantly to dividend payout ratio.
Keywords : current ratio, return on equity, firm size, leverage dan businees risk variable"
"Pengaruh Budaya Terhadap Perilaku Pengemis Anak 
Di Kecamatan Kamal-Kab. Bangkalan",Penulis : Indah Permata Sari,"Dosen Pembimbing I : Dr. Hj. Iriani Ismail., Dra.,M.M","Dosen Pembimbing II :Faidal,SE., MM","Munculnya asumsi bahwa lahirnya budaya mengemis disebabkan adanya dua budaya yang paling berpengaruh terhadap anak dalam memilih profesi menjadi pengemis yaitu budaya lingkungan dan keluarga. Budaya juga mampu mempengaruhi sikap dan  periaku seseorang. Hal ini disebabkan karena kebiasaan yang dilakukan setiap hari dalam kehidupan sehari-hari. 
Berdasarkan hasil penelitian tentang pengaruh budaya terhadap perilaku pengemis anak di Kamal kab. Bangkalan dapat dikatakan sangat memprihatinkan. Hal ini dapat dilihat dari dua variabel yaitu variabel budaya yang terdiri dari tiga indikator dalam mengukur suatu budaya diantaranya etnografis yaitu tentang persepsi mereka sebagai pengemis. Sosialisasi yaitu adanya peran dari keluarga atau lingkungan yang menyebabkan mereka berprofesi sebagai pengemis. Modus operandi yaitu bentuk pengemis atau praktek mengemis, serta jaringan antara pengemis yang ada di desa tersebut. serta variable perilaku yang terdiri dari dua indicator yaitu behavioral sociology yang menerangkan tingkah laku yang terjadi di masa sekarang melalui kemungkinan akibatnya yang terjadi di masa yang akan datang. Sedangkan  teory exchange of social yang menerangkan bahwa suatu atau kekecewaan yang terjadi dalam kehidupan manusia bersumber pada perilaku pihak lain. Berdasarkan hasil dari penelitian, terdapat perilaku anak yang menyebabkan kekecewaan karena adnya faktor atau dorongan dari budaya keluarga dan lingkungan.
Kata kunci: Perilaku Sosial dan budaya
","The emergence of the assumption that the birth of the begging culture due to two of the most influential cultures of the children in choosing a profession beggar is culture and family environment. Culture is also able to influence one's attitude and behavior. 
By the results of research on the influence of culture on behavior of child beggars in Kamal district. Bangkalan can be said to be very alarming. It can be seen from the two variables are variables that culture consists of three indicators to measure a culture that is about perception among ethnographic them as beggars. Socialization is the role of family or environment that causes them to work as beggars. And the modus operandi of the form of beggars or practice of begging, and tissue between the beggars in the village and a variable behavior consists of two indicators, namely behavioral sociology that explain behavior that occurs in the present through the possibility of consequences that occur in the future . The exchange of social teory stating that any or disappointments that occur in human life originated on the behavior of others. Based on the results of the study, there is a behavior that causes disappointment because there are factors or the encouragement of family culture and environment.
Key word: Behavior of Social and cultural
"
PENGARUH RETAILING MIX (BAURAN ECERAN) TERHADAP KEPUTUSAN PEMBELIAN KONSUMEN (Studi Pada Indah Swalayan Bangkalan),Penulis : Ali Usman,"Dosen Pembimbing I : Dr. Ir. Nurita Andriani, MM","Dosen Pembimbing II :Hadi Purnomo, SE., MM","Bauran eceran merupakan salah satu langkah pemasaran bagi keberhasilan perusahaan, baik yang bergerak dalam bidang produksi barang maupun jasa.Indah Swalayan Bangkalan merupakan salah satu bisnis eceran yang bergerak dalam jual beli barang yang perlu memperhatikan perilaku konsumen untuk mengambil keputusan. Variabel bauran eceran menggunakan teori Berman dan Evans dalam Foster (2008) yang terdiri dari lokasi, pelayanan, produk, harga, suasana, harga dan promosi.
Tujuan penelitian ini adalah (1) untuk mengetahui pengaruh bauran eceran yang terdiri dari lokasi, pelayanan, produk, harga, suasana, harga dan promosi secara simultan terhadap keputusan pembelian konsumen (studi pada Indah Swalayan Bangkalan), (2) untuk mengetahui variabel bauran eceran yang berpengaruh lebih besar terhadap keputusan pembelian (studi pada Indah Swalayan Bangkalan).
Penelitian ini menggunakan pendekatan pendekatan kuantitatif. Teknik pengambilan sampel menggunakan purposive sampling dengan 80 responden.Teknik pengumpulan data yaitu dengan wawancara, kepustakaan, dan kuesioner dan menggunakan skala likert untuk mengukur jawaban responden.Untuk menguji instrumen menggunakan uji validitas, uji reliabilitas, dan uji asumsi klasik.Sedangkan teknik analisis data yaitu menggunakan analisis regresi linier berganda karena variabel yang digunakan lebih dari dua variabel, dengan uji F dan uji t.
Hasil penelitian ini menunjukkan bahwa variabel bauran eceran yang terdiri dari lokasi, pelayanan, produk, harga, suasana, harga dan promosi berpengaruh secara simultan terhadap keputusan pembelian (studi pada Indah Swalayan Bangkalan).Namun, tidak semua variabel bauran eceran berpengaruh secara parsial terhadap keputusan pembelian pada Indah Swalayan Bangakalan).Variabel harga berpengaruh lebih besar terhadap keputusan pemebelian pada Indah Swalayan Bangkalan).

Kata Kuci : Bauran eceran, lokasi, pelayanan, produk, harga, suasana toko, karyawan, promosi, dan Keputusan pembelian.
","Retailing mix is one step of marketing for successful company, both in the field production of good or service. Indah Swalayan Bangkalan is one of self-service in good sales which required to pay attention to consumer’s behavior in taking decision. The observed retailing mix variables through Berman and Evans in Foster (2008) which consist consist of store location, operation procedures, merchandising, pricing tactics, store atmosphere, customer service and promotional method.
The objectives of this research (1) to know the effect of retailing mix variables which consist of store location, operation procedures, merchandising, pricing tactics, store atmosphere, customer service and promotional method simultaneously to cunsumer’s buying decision (study at Indah Swalayan Bangkalan), (2) to know retailing mix variables has dominant effect to cunsumer’s buying decision (study at Indah Swalayan Bangkalan).
This research is quantitative research approach which tried to know how the influence of retailing mix to consumer’s buying decision (study at Indah Swalayan Bangkalan). Sampling has been developed through purposive sampling, resulting 80 respondents. The technique of gathered data there are interview, literature, and questionaire, and 5-point Likert Scale to measure the respondent’s answer. To test instrument used validities test, reliablities tes, and classical assumption test. While the technique of data analysis used double linier regression because which is used more than two variable with F test and t test.

The result of this research shows that retailing mix variables which consist of store location, operation procedures, merchandising, pricing tactics,store atmosphere, customer service and promotional method have effect simultaneously to cunsumer’s buying decision (study at Indah Swalayan Bangkalan). However, not all of retailing mix variables have effect partially to cunsumer’s buying decision (study at Indah Swalayan Bangkalan). The variable of pricing tactics has dominant effect to cunsumer’s buying decision (study at Indah Swalayan Bangkalan).

Keywords : Retailing Mix and Consumer Buying Decision.
"
PENGARUH FAKTOR-FAKTOR STRES KERJA TERHADAP DISIPLIN KERJA DOSEN UNIVERSITAS TRUNOJOYO MADURA,Penulis : Saiful Rahman,"Dosen Pembimbing I : Dr. Muhammad Alkirom Wildan,S.E.,M.Si","Dosen Pembimbing II :Helmi Buyung Aulia,S.ST.,S.E.,M.MT","ABSTRAK

Penelitian ini bertujuan untuk mengetahui pengaruh faktor-faktor stres kerja terhdap disiplin kerja yang dilakukan terhadap dosen Universitas Trunojoyo Madura dengan jumlah responden penelitian sebanyak 86 orang Dosen, data yang terkumpul selanjutnya dilakukan analisis Regresi Linier Berganda. Dengan menggunakan alat bantu software SPSS 16.0. hasil analisis terhadap pengujian hipotesis diperoleh sebagai berikut: adanya pengaruh faktor-faktor stres kerja yang terdiri dari stressor lingkungan fisik, stressor individu, stressor kelompok dan stressor organisasi mempunyai pengaruh terhadap disiplin kerja dosen dan variabel stressor lingkungan fisik merupakan variabel yang dominan mempengaruhi disiplin kerja dosen Universitas Trunojoyo Madura.

KataKunci :Stressor Lingkungan Fisik, Stressor Individu, Stressor Kelompok, Stressor Organisasi, Disiplin Kerja.
","ABSTRACT

This study aimed to determine the effect of working stress factors toward lecturer working discipline of Trunojoyo University of Madura by the respondents as many as 86 people Lecturers, the collected data is then performed Multiple Linear Regression analysis. By using SPSS 16.0 software tools.The result of analysis obtained by the following hypothesis: there are influence of working stress factors consisting of physical environmental stressors, individual stressor, stressors group and organization stressors have an influence on working lecturer discipline and physical environmental variable stressors was the dominant variable affecting towards lecturer working discipline at Trunojoyo University of Madura.

Keywords: Physical Environmental stressors, Individual stressors, Stressors group, Organization Stressors, Work Discipline.
"
ANALISIS CONSUMER DECISION MODEL (CDM) UNTUK MENGUKUR EFEKTIFITAS IKLAN COCA-COLA VERSI PIALA DUNIA 2010 DI TELEVISI (Studi Kasus Pada Mahasiswa Universitas Trunojoyo Madura),Penulis : SYAIFUL ANWAR,"Dosen Pembimbing I : Dr. H. Pribanus Wantara,Drs, MM","Dosen Pembimbing II :Fathor AS, S.E.MM","ABSTRAK

Penelitian ini bertujuan untuk mengukur efektivitas iklan menggunakan Consumer Decision Model (CDM) yang dilakukan terhadap mahasiswa Universitas Trunojoyo Madura dengan jumlah responden penelitian sebanyak 98 orang mahasiswa, data yang terkumpul selanjutnya dilakukan analisis jalur (path analysis). Dengan menggunakan alat bantu software SPSS 13.0. hasil analisis terhadap pengujian hipotesis diperoleh sebagai berikut: dari 8 pengaruh langsung terdapat 6 pengaruh langsung yang signifikan dan 2 pengaruh langsung yang tidak signifikan, selanjutnya dari 4 pengaruh tidak langsung terdapat 2 pengaruh tidak langsung yang signifikan dan 2 pengaruh tidak langsung yang tidak signifikan.
Kata kunci : CDM analisis jalur, pesan iklan, pengenalan merek, keyakinan konsumen, sikap konsumen, niat beli, Pembelian Nyata.
","ABSTRACT
This studyaimed tomeasure the effectiveness of  advertising using the Consumer Decision Model (CDM) conducted toscholar of Trunojoyo University of Madura by the number of respondent ssurvey as many as 98 scholar, the collecting data will be analyzed by patha nalysis. By using SPSS 13.0 software tools. Analysis of the test result sobtained by the following hypothesis: from the 8 direct effectthere are 6 significant direct effect and 2 direct effect are not significant, furtheremore from 4 indirect effect, there are 2 significant indirect effect and 2 indirect effect are not significant.
Keywords: CDM path analysis, advertising messages, brand recognition, consumer confidence,  Consumer Attitudes, purchase intention, Purchasing Real.
"
"Analisis Inovasi Dan Keunggulan Bersaing 
Dalam Meningkatkan Kinerja Pemasaran
(Studi Pada Optik Reza Lamongan)",Penulis : Sandy Ardiansyah,"Dosen Pembimbing I : Dr. Ir. Nurita Andriani, MM.","Dosen Pembimbing II :Suyono, S.E., M. S. M.","ABSTRAK
	Tujuan penelitian ini adalah mendeskripsikan inovasi, keunggulan bersaing, kinerja pemasaran sebelum dan sesudah diterapkannya inovasi dan keunggulan bersaing pada Optik Reza Lamongan. Penelitian ini menggunakan deskriptif kualitatif dengan pendekatan fenomenologi. Teknik pengumpulan data yang digunakan adalah wawancara, observasi, penggunaan dokumen. Sedangkan teknik analisis data dilakukan dengan cara data reduction, data display, conclusion drawing atau verification.
	Hasil penelitian menunjukkan bahwa dalam perusahaan Optik Reza Lamongan telah melakukan sebuah inovasi, keunggulan bersaing dalam meningkatkan kinerja pemasaran. Setelah Optik Reza Lamongan menerapkan inovasi dan keunggulan bersaing volume omzet penjualan semakin meningkat terbukti pada tahun ke tahun terus mengalami peningkatan. Produk yang ditawarkannya semakin mengalami perbaikan, sehingga pangsa pasarnya semakin meluas ke segala daerah yang ada di Jawa Timur dan Jawa Tengah.
	
Kata kunci : Inovasi, Keunggulan Bersaing, Kinerja Pemasaran

","ABSTRACT
The purpose of this study is to describe the innovation, competitive advantage, marketing performance before and after the application of innovation and competitive advantage on Optic of Reza Lamongan. This study used a qualitative descriptive phenomenological approach. Data collection techniques used were interviews, observations, document use. While the techniques of data analysis done by data reduction, data display, conclusion drawing or verification.
The results showed that the company has done Optic of Reza Lamongan an innovation, competitive advantage in improving marketing performance. After Optic of Reza Lamongan applying innovation and competitive advantage volume of sales turnover increasing year on year proved constantly increasing. Products are offered further improved, thus expanding its market share in all areas in East Java and Central Java.

Keywords : Innovation, Competitive Advantage, Performance Marketing
"
Pengaruh Retailing Mix terhadap Keputusan Pembelian Konsumen pada Idola Mart Kwanyar,Penulis : Fitriyah,"Dosen Pembimbing I : Dr. H. Pribanus Wantara, Drs., MM","Dosen Pembimbing II :Yustina Chrismardani, S.Si., MM","Tujuan penelitian ini adalah untuk mengetahui pengaruh variabel Retailing Mix yang terdiri dari lokasi, merchandise, harga, atmosfer dalam gerai, pelayanan dan promosi terhadap keputusan pembelian konsumen dan untuk mengetahui variabel retailimg mix yang berpengaruh lebih besar terhadap keputusan pembelian konsumen pada Idola Mart Kwanyar.
Pendekatan penelitian yang digunakan dalam penelitian ini adalah kuantitatif, yaitu penelitian yang berlandaskan pada filsafat positivisme yang bertujuan untuk menguji hipotesis yang telah ditetapkan. Sampel dalam penelitian ini adalah konsumen yang melakukan pembelian pada Idola Mart Kwanyar yang berjumlah 70 konsumen. Metode pengambilan sampel yang digunakan adalah purposive sampling. Untuk pengujian instrumen menggunakan uji Validitas, Reliabilitas dan uji Asumsi Klasik, sedangkan teknik analisis data yang digunakan untuk menguji hipotesis adalah menggunakan regresi linier berganda dengan memakai uji F dan uji t.
Berdasarkan hasil penelitian menunjukkan bahwa nilai adjusted R Square sebesar 0,557 yang berarti besarnya pengaruh variabel bebas terhadap variabel terikat adalah 55,7%, sedangkan sisanya 44,3% dipengaruhi oleh variabel lain yang tidak diteliti dalam penelitian ini. Berdasarkan uji F variabel Retailing Mix yang terdiri dari lokasi, merchandise, harga, atmosfer dalam gerai, pelayanan dan promosi secara simultan berpengaruh signifikan terhadap keputusan pembelian Idola Mart Kwanyar. Berdasarkan uji t diketahui bahwa secara parsial variabel lokasi, merchandise, harga dan pelayanan berpengaruh signifikan terhadap variabel terikat sedangkan variabel atmosfer dalam gerai dan promosi tidak berpengaruh terhadap variabel terikat. Variabel yang berpengaruh lebih besar adalah variabel harga.

Kata kunci : Retailing Mix lokasi, merchandise, harga, atmosfer dalam gerai, pelayanan, promosi dan Keputusan Pembelian","This study aimed were to find the effect of the retailing mix which was consisted of location, merchandise, price, atmosphere in the store, service, and promotion towards consumer purchasing decision and to find which one of the retailing mix variables that had the greater effect towards the consumer purchasing decision at Idola Mart Kwanyar.
This study used quantitative research approach. It was based on philoshophy positivism which had a purpose to examine a hyphotesis which had been set. The number of sample was 70 consumers who make purchasing at Idola Mart Kwanyar. The sampling method used purposive sampling. For instrument examination used the validity test, reliability and classic assumption test while the data analysis techniques used to examine hyphotesis was multiple linear regression using the F and T test.
Based on the results of the study showed that the value of adjusted R square was 0.557. it mean that the effect of the independent variable towards dependent variable was 55.7% while 44.3% influenced by other variable that was not examined in this research. Based on F test, the retailing mix variable which was consisted of location, merchandise, price, atmosphere in the store, service and promotion simultaneously have a significant effect towards the consumer purchasing decision at Idola Mart Kwanyar. Based on T test, the location, merchandise, price and service partially have a significant effect  towards dependent variable, while atmosphere in the store and promotion variable have not an effect for the dependent variable. Variable which had larger effect was price.
Key word: retailing mix, location, merchandise, price, atmosphere in the store, price, promotion, and purchasing decision."
